"profile_id","date_time"
202336,1986-01-01 00:00:00
202337,1984-01-01 00:00:00
202338,1986-01-01 00:00:00
202339,1984-01-01 00:00:00
202340,1986-01-01 00:00:00
202341,1986-01-01 00:00:00
202342,1986-01-01 00:00:00
202343,1986-01-01 00:00:00
202344,1986-01-01 00:00:00
202345,1986-01-01 00:00:00
202346,1986-01-01 00:00:00
202347,1986-01-01 00:00:00
202348,1986-01-01 00:00:00
202349,1984-01-01 00:00:00
202350,1986-01-01 00:00:00
202351,1986-01-01 00:00:00
202352,1986-01-01 00:00:00
202353,1986-01-01 00:00:00
202354,1986-01-01 00:00:00
202355,1986-01-01 00:00:00
202356,1986-01-01 00:00:00
202357,1986-01-01 00:00:00
202358,1986-01-01 00:00:00
202359,1986-01-01 00:00:00
202360,1986-01-01 00:00:00
202361,1984-01-01 00:00:00
202362,1986-01-01 00:00:00
202363,1986-01-01 00:00:00
202364,1984-01-01 00:00:00
202365,1986-01-01 00:00:00
202366,1984-01-01 00:00:00
202367,1984-01-01 00:00:00
202368,1986-01-01 00:00:00
202369,1984-01-01 00:00:00
202370,1986-01-01 00:00:00
202371,1984-01-01 00:00:00
202372,1986-01-01 00:00:00
202373,1984-01-01 00:00:00
202374,1986-01-01 00:00:00
202375,1984-01-01 00:00:00
202376,1986-01-01 00:00:00
202377,1986-01-01 00:00:00
202378,1984-01-01 00:00:00
202379,1986-01-01 00:00:00
202380,1984-01-01 00:00:00
202381,1984-01-01 00:00:00
202382,1986-01-01 00:00:00
202383,1984-01-01 00:00:00
202384,1986-01-01 00:00:00
202385,1984-01-01 00:00:00
202386,1986-01-01 00:00:00
202387,1984-01-01 00:00:00
202388,1986-01-01 00:00:00
202389,1986-01-01 00:00:00
202390,1984-01-01 00:00:00
202391,1986-01-01 00:00:00
202392,1984-01-01 00:00:00
202393,1984-01-01 00:00:00
202394,1986-01-01 00:00:00
202395,1986-01-01 00:00:00
202396,1984-01-01 00:00:00
202397,1986-01-01 00:00:00
202398,1984-01-01 00:00:00
202399,1984-01-01 00:00:00
202400,1986-01-01 00:00:00
202401,1984-01-01 00:00:00
202402,1986-01-01 00:00:00
202403,1984-01-01 00:00:00
202404,1984-01-01 00:00:00
202405,1986-01-01 00:00:00
202406,1986-01-01 00:00:00
202407,1984-01-01 00:00:00
202408,1986-01-01 00:00:00
202409,1984-01-01 00:00:00
202410,1986-01-01 00:00:00
202411,1984-01-01 00:00:00
202412,1984-01-01 00:00:00
202413,1986-01-01 00:00:00
202414,1984-01-01 00:00:00
202415,1986-01-01 00:00:00
202416,1986-01-01 00:00:00
202417,1984-01-01 00:00:00
202418,1984-01-01 00:00:00
202419,1986-01-01 00:00:00
202420,1986-01-01 00:00:00
202421,1984-01-01 00:00:00
202422,1984-01-01 00:00:00
202423,1986-01-01 00:00:00
202424,1984-01-01 00:00:00
202425,1986-01-01 00:00:00
202426,1986-01-01 00:00:00
202427,1984-01-01 00:00:00
202428,1984-01-01 00:00:00
202429,1986-01-01 00:00:00
202430,1986-01-01 00:00:00
202431,1984-01-01 00:00:00
202432,1984-01-01 00:00:00
202433,1986-01-01 00:00:00
202434,1986-01-01 00:00:00
202435,1984-01-01 00:00:00
202436,1986-01-01 00:00:00
202437,1984-01-01 00:00:00
202438,1984-01-01 00:00:00
202439,1986-01-01 00:00:00
202440,1984-01-01 00:00:00
202441,1984-01-01 00:00:00
202442,1986-01-01 00:00:00
202443,1984-01-01 00:00:00
202444,1986-01-01 00:00:00
202445,1984-01-01 00:00:00
202446,1986-01-01 00:00:00
202447,1984-01-01 00:00:00
202448,1986-01-01 00:00:00
202449,1984-01-01 00:00:00
202450,1986-01-01 00:00:00
202451,1984-01-01 00:00:00
202452,1986-01-01 00:00:00
202453,1986-01-01 00:00:00
202454,1984-01-01 00:00:00
202455,1986-01-01 00:00:00
202456,1986-01-01 00:00:00
202457,1986-01-01 00:00:00
202458,1986-01-01 00:00:00
202459,1986-01-01 00:00:00
202460,1984-01-01 00:00:00
202461,1986-01-01 00:00:00
202462,1986-01-01 00:00:00
202463,1986-01-01 00:00:00
202464,1986-01-01 00:00:00
202465,1986-01-01 00:00:00
202466,1986-01-01 00:00:00
202467,1986-01-01 00:00:00
202468,1986-01-01 00:00:00
202469,1986-01-01 00:00:00
202470,1986-01-01 00:00:00
202471,1986-01-01 00:00:00
202472,1984-01-01 00:00:00
202473,1986-01-01 00:00:00
202474,1986-01-01 00:00:00
202475,1986-01-01 00:00:00
202476,1986-01-01 00:00:00
202477,1986-01-01 00:00:00
202478,1986-01-01 00:00:00
202479,1986-01-01 00:00:00
202480,1986-01-01 00:00:00
202481,1986-01-01 00:00:00
202482,1986-01-01 00:00:00
202483,1984-01-01 00:00:00
202484,1986-01-01 00:00:00
202485,1986-01-01 00:00:00
202486,1986-01-01 00:00:00
202487,1986-01-01 00:00:00
202488,1986-01-01 00:00:00
202489,1986-01-01 00:00:00
202490,1986-01-01 00:00:00
202491,1986-01-01 00:00:00
202492,1986-01-01 00:00:00
202493,1986-01-01 00:00:00
202494,1986-01-01 00:00:00
202495,1986-01-01 00:00:00
202496,1984-01-01 00:00:00
202497,1986-01-01 00:00:00
202498,1986-01-01 00:00:00
202499,1986-01-01 00:00:00
202500,1986-01-01 00:00:00
202501,1986-01-01 00:00:00
202502,1986-01-01 00:00:00
202503,1986-01-01 00:00:00
202504,1986-01-01 00:00:00
202505,1986-01-01 00:00:00
202506,1986-01-01 00:00:00
202507,1984-01-01 00:00:00
202508,1984-01-01 00:00:00
202509,1984-01-01 00:00:00
202510,1984-01-01 00:00:00
202511,1984-01-01 00:00:00
202512,1984-01-01 00:00:00
202513,1984-01-01 00:00:00
202514,1984-01-01 00:00:00
202515,1984-01-01 00:00:00
202516,1984-01-01 00:00:00
202517,1984-01-01 00:00:00
202518,1984-01-01 00:00:00
202519,1984-01-01 00:00:00
202520,1984-01-01 00:00:00
202521,1984-01-01 00:00:00
202522,1984-01-01 00:00:00
202523,1984-01-01 00:00:00
202524,1984-01-01 00:00:00
202525,1984-01-01 00:00:00
202526,1984-01-01 00:00:00
202527,1984-01-01 00:00:00
202531,1984-01-01 00:00:00
202532,1984-01-01 00:00:00
202535,1984-01-01 00:00:00
202536,1984-01-01 00:00:00
202537,1984-01-01 00:00:00
202538,1984-01-01 00:00:00
202539,1984-01-01 00:00:00
202540,1984-01-01 00:00:00
202541,1984-01-01 00:00:00
202542,1984-01-01 00:00:00
202543,1984-01-01 00:00:00
202544,1984-01-01 00:00:00
202545,1984-01-01 00:00:00
202546,1984-01-01 00:00:00
202548,1984-01-01 00:00:00
202549,1984-01-01 00:00:00
202550,1984-01-01 00:00:00
202551,1972-01-01 00:00:00
202552,1972-01-01 00:00:00
202553,1986-01-01 00:00:00
202554,1972-01-01 00:00:00
202555,1986-01-01 00:00:00
202556,1972-01-01 00:00:00
202557,1986-01-01 00:00:00
202558,1972-01-01 00:00:00
202559,1986-01-01 00:00:00
202560,1972-01-01 00:00:00
202561,1986-01-01 00:00:00
202562,1986-01-01 00:00:00
202563,1986-01-01 00:00:00
202564,1986-01-01 00:00:00
202565,1986-01-01 00:00:00
202566,1972-01-01 00:00:00
202567,1986-01-01 00:00:00
202568,1986-01-01 00:00:00
202569,1986-01-01 00:00:00
202570,1986-01-01 00:00:00
202571,1986-01-01 00:00:00
202572,1986-01-01 00:00:00
202573,1986-01-01 00:00:00
202574,1972-01-01 00:00:00
202575,1986-01-01 00:00:00
202576,1986-01-01 00:00:00
202577,1986-01-01 00:00:00
202578,1986-01-01 00:00:00
202579,1986-01-01 00:00:00
202580,1986-01-01 00:00:00
202581,1986-01-01 00:00:00
202582,1986-01-01 00:00:00
202583,1986-01-01 00:00:00
202584,1986-01-01 00:00:00
202585,1986-01-01 00:00:00
202586,1986-01-01 00:00:00
202587,1972-01-01 00:00:00
202588,1986-01-01 00:00:00
202589,1986-01-01 00:00:00
202590,1986-01-01 00:00:00
202591,1986-01-01 00:00:00
202592,1986-01-01 00:00:00
202593,1986-01-01 00:00:00
202594,1986-01-01 00:00:00
202595,1986-01-01 00:00:00
202596,1986-01-01 00:00:00
202597,1986-01-01 00:00:00
202599,1986-01-01 00:00:00
202600,1986-01-01 00:00:00
202601,1986-01-01 00:00:00
202602,1986-01-01 00:00:00
202603,1986-01-01 00:00:00
202604,1986-01-01 00:00:00
202605,1986-01-01 00:00:00
202606,1986-01-01 00:00:00
202607,1972-01-01 00:00:00
202608,1986-01-01 00:00:00
202609,1986-01-01 00:00:00
202610,1986-01-01 00:00:00
202611,1986-01-01 00:00:00
202612,1986-01-01 00:00:00
202613,1986-01-01 00:00:00
202614,1986-01-01 00:00:00
202615,1986-01-01 00:00:00
202616,1986-01-01 00:00:00
202617,1986-01-01 00:00:00
202618,1972-01-01 00:00:00
202619,1986-01-01 00:00:00
202620,1986-01-01 00:00:00
202621,1986-01-01 00:00:00
202622,1986-01-01 00:00:00
202623,1972-01-01 00:00:00
202624,1972-01-01 00:00:00
202625,1972-01-01 00:00:00
202626,1972-01-01 00:00:00
202627,1972-01-01 00:00:00
202628,1972-01-01 00:00:00
202629,1979-01-01 00:00:00
202630,1972-01-01 00:00:00
202631,1979-01-01 00:00:00
202632,1979-01-01 00:00:00
202633,1979-01-01 00:00:00
202634,1979-01-01 00:00:00
202635,1979-01-01 00:00:00
202636,1979-01-01 00:00:00
202637,1979-01-01 00:00:00
202638,1979-01-01 00:00:00
202639,1979-01-01 00:00:00
202640,1979-01-01 00:00:00
202641,1972-01-01 00:00:00
202642,1979-01-01 00:00:00
202643,1979-01-01 00:00:00
202644,1979-01-01 00:00:00
202645,1979-01-01 00:00:00
202646,1979-01-01 00:00:00
202647,1979-01-01 00:00:00
202648,1979-01-01 00:00:00
202649,1972-01-01 00:00:00
202650,1979-01-01 00:00:00
202651,1979-01-01 00:00:00
202652,1979-01-01 00:00:00
202653,1979-01-01 00:00:00
202654,1979-01-01 00:00:00
202655,1972-01-01 00:00:00
202656,1979-01-01 00:00:00
202657,1979-01-01 00:00:00
202658,1979-01-01 00:00:00
202659,1979-01-01 00:00:00
202660,1979-01-01 00:00:00
202661,1979-01-01 00:00:00
202662,1979-01-01 00:00:00
202663,1972-01-01 00:00:00
202664,1979-01-01 00:00:00
202665,1979-01-01 00:00:00
202666,1979-01-01 00:00:00
202667,1979-01-01 00:00:00
202668,1979-01-01 00:00:00
202669,1979-01-01 00:00:00
202670,1972-01-01 00:00:00
202671,1979-01-01 00:00:00
202672,1979-01-01 00:00:00
202673,1979-01-01 00:00:00
202674,1979-01-01 00:00:00
202675,1979-01-01 00:00:00
202676,1979-01-01 00:00:00
202677,1972-01-01 00:00:00
202678,1979-01-01 00:00:00
202679,1979-01-01 00:00:00
202680,1979-01-01 00:00:00
202681,1979-01-01 00:00:00
202682,1979-01-01 00:00:00
202683,1979-01-01 00:00:00
202684,1979-01-01 00:00:00
202685,1979-01-01 00:00:00
202686,1972-01-01 00:00:00
202687,1972-01-01 00:00:00
